Time,Vac1,Vac2,Vac3,Vpv1,Vpv2,Iac1,Iac2,Iac3,Ipv1,Ipv2,Pnow,Etoday,Eall
19:32,748,1426,3848,2851,2487,2447,5239,3199,302999981,95583322,183468496,166840745,31088490
19:32,2066,4204,6044,1226,1354,3863,2571,1524,409753104,341143680,124895800,184368628,88684952
19:32,6438,5047,3052,3377,2090,4836,128,3061,315287546,89516201,279198171,429184834,131508056
19:32,2069,4258,1901,6051,3347,6346,3193,5956,42713255,279674952,70789435,10550332,280198336
19:32,1903,1239,651,3252,5083,2939,6374,2961,12246735,275748312,16920172,204461854,343325477
19:32,5324,2185,4119,1818,5402,1363,1430,2185,314746913,22867376,390937750,61045817,319541024
19:32,2780,1164,6061,4897,5878,1644,2678,218,60477461,-6202,134617547,152145398,17019185
19:32,5843,6115,6385,5924,2316,4389,2107,4480,357124857,395957466,124014794,7425743,60362545
19:32,3969,1161,5528,6022,5675,1958,4964,5899,144221451,-1671,-2941,264326488,27458517
19:32,3752,2585,1727,4837,1672,5671,5693,6248,385647512,227773445,69095037,202861802,96691448
19:32,844,1317,1804,292,3242,1587,428,1576,82039834,406495630,255081805,15954091,401487992
19:32,4716,6064,2512,2350,566,2191,2398,3224,365447080,255231294,228439453,100770178,423900040
19:32,2574,2757,1906,1331,3929,4530,1205,3304,14355000,40582338,145482844,151011947,205273413
19:32,1263,5404,3651,4543,6536,1907,2816,-1,222990150,351755139,139326290,248952065,103058787
19:45,5609,5952,1971,-1,1478,4353,224,1257,168191519,263818123,204487193,400379528,378142621
19:45,1366,3593,3250,4912,6467,3762,3751,1271,176077439,176571688,341896499,107190645,76002621
19:45,4358,2071,1516,153,3588,2166,2489,3345,133891943,71104902,140582938,301942402,93811682
20:13,1321,2023,1918,1581,3473,1324,3400,-1,325977124,98809393,51022340,407121856,13301552
20:13,3205,2865,4617,199,6392,5232,382,2536,191251056,279578587,254266994,395270050,136646605
20:13,4434,2077,1564,250,2921,5595,3817,3648,123038260,59308484,26014150,4362478,239348975
20:13,1507,3990,4210,3504,684,2544,3422,798,426177285,380021647,283392459,360638646,340319623
20:13,5985,5569,1454,1416,3142,5638,4680,-1,65826790,428178165,26750590,407121856,16335823
20:13,5623,907,2234,3028,-1,3999,3834,4722,279666173,146598684,241786102,125691024,412003112
20:13,6440,2425,3291,5302,-1,4246,2043,1064,88397928,341057524,43142313,365151982,43701967
23:57,2147,3266,3181,1718,1931,5035,167,477,135361158,22734311,366664023,85739440,49358117
23:57,1574,565,5126,1963,1243,948,2598,5989,330734855,157939620,279816751,306103724,252907020
23:57,887,4179,3465,2349,820,6209,-1,1171,216405942,423242883,404258244,116668491,65092527
23:57,1072,4964,5068,3871,3553,5823,4729,2147,382212721,68194642,118587563,318899527,4912289
23:57,1528,2640,28,5896,1201,5385,5050,533,287690702,123206345,398908240,-892,302105135
23:57,1134,3486,4638,944,1930,792,6037,2813,154359704,214332575,401563761,281950028,378517420
23:57,3891,1557,735,3750,5651,4815,1086,3855,385387554,229901437,114683508,295613243,238096182
23:57,1981,5807,5512,3637,4474,4833,5234,2775,193407626,-6071,159964593,408269786,10166949
23:57,2824,5918,6277,3668,5734,6348,1132,3514,293658806,366052343,315287905,47777877,205711018
23:57,5914,1336,2208,6486,3121,5471,4607,5817,10730736,379873307,296629236,260523923,360350136
23:57,1348,726,5687,3252,5720,-1,5702,5355,161121778,354992639,79982193,67337851,121232466
23:57,5884,3342,847,-1,2199,6381,6207,6518,41812330,186484351,324072788,183640769,103409327
23:57,4017,3354,1716,3784,1341,5764,4251,4985,302406515,62735946,399769016,34556830,388632620
23:57,3418,3217,788,3430,4569,5721,4671,385,151647265,212707931,312739876,27330014,69819207
23:57,35,4846,203,2177,5589,4033,2917,5751,313090749,375161578,56148282,83751239,318063489
23:58,1173,6502,3196,4955,2657,1831,1921,3975,361067538,166838842,40024616,14201081,-1500
23:58,751,2721,2013,4285,2823,1124,1757,1793,156934803,133994760,4079362,300225150,356888758
23:58,1424,3818,4456,4733,5974,1472,4426,6286,347994294,120628267,203864888,34274704,303415552
23:58,2540,5130,5145,6007,3712,3629,3839,353,129958261,427289636,224045778,34632563,17427970
23:58,-1,4517,4935,2165,4513,3140,3566,1196,304962649,191140511,46785696,298118451,342220953
23:58,5690,258,1211,6056,5643,104,2154,1639,349532820,7242523,166008695,370349473,282207511
23:58,3324,5172,480,5064,-1,4695,-1,5832,258716864,167264265,326277112,88462278,64810124
23:58,3409,4958,2625,137,5941,1519,6439,4304,358200586,278422864,159323440,155164453,177246424
23:58,1590,1568,1924,3533,3730,1953,2843,3762,244850929,62460063,228967415,121974858,-2626
23:58,2546,5474,6402,5654,6177,6221,140,752,297797544,368257738,39750410,206658487,241373667
23:58,3925,6005,3955,3377,5955,5938,-1,1896,202125817,135318042,394624119,255361072,170234978
23:58,5873,4623,4649,1211,1449,5813,4075,-1,105929734,13940528,35811152,256766129,201031890
23:58,2695,1814,382,5818,3852,2532,6489,5389,80529921,123220908,389811480,133897575,263711684
23:58,708,1306,4270,3627,5469,6037,2199,6240,225262933,135444859,156898085,224099064,53371897
23:58,3013,6519,2579,3288,3951,2640,5772,3501,314040095,295425226,412560692,66411473,-4881
23:58,1802,2631,654,3908,2000,2957,5324,3749,47008405,25240580,293517447,192122830,421983961
23:58,569,1270,6030,4497,5811,5530,4574,5961,365432267,34158251,45615728,392837409,68339897
23:58,1806,4214,5202,5544,6326,2317,292,6373,212918215,292128556,417590643,166075583,252789318
23:58,4538,465,6002,6279,2958,4434,3660,3954,143963327,36936892,52410836,7002244,233128048
23:58,3779,5998,3392,4869,4407,5475,4788,5257,31082302,321402281,233364836,305279265,66254792
23:58,4941,272,5983,552,3735,5020,5570,3198,268417495,310472062,289359105,303091837,1274235
23:58,1704,5394,3890,5922,3342,1761,3571,575,201502567,414007857,226841055,367441905,250420806
23:58,5031,3370,1539,1263,4307,1132,5838,5501,11624541,10847927,76756080,151720817,261510863
23:58,4203,3393,4918,2630,4677,2778,2906,3514,274011316,131367392,384954526,127624378,222234329
23:58,2041,3551,274,4886,5036,323,1973,6010,66688220,11248747,300670580,167005129,104308736
23:58,2850,2583,-1,4819,-1,1177,1191,-1,168971297,350410041,100550906,197519268,246139332
23:58,566,2676,4260,167,3380,1887,6416,5719,122606293,153324729,150448519,418896877,81294417
23:58,5174,5622,1822,5873,6444,536,6392,91,300049586,369900265,83020322,72411127,351827354
23:58,2312,4018,6115,779,50,2357,1630,4671,151145421,88404460,391352766,340364241,121455707
23:58,6476,2003,315,762,4578,4760,3975,1636,274037069,37903303,169348842,138455950,404925785
23:58,5864,795,5510,2864,2501,2210,184,1093,298963198,153644683,208389397,196793771,408372678
23:58,3578,5282,4490,2660,2918,4173,2849,649,120827463,195586577,337029779,250834845,152329469
23:58,2680,995,1514,1979,1025,4794,391,5760,282154121,393703949,278720282,78564851,181541039
23:58,986,357,3418,4081,5455,5149,1665,3237,126958110,144026592,353044514,222388393,149656201
23:58,2052,677,2906,3629,3335,1,1003,3517,297043174,156111625,67585703,240676757,-1307
23:58,3735,1302,473,-1,222,821,4270,-1,396924031,204359484,83444378,6179912,128013507
23:58,5106,6092,6524,1774,1056,771,2719,2806,201663020,287328176,8322959,-2651,295717744
23:58,2255,236,1936,2288,2763,732,-1,701,138961919,250032273,-5499,200754885,167772481
23:58,5880,4312,5459,2856,2598,6218,4022,3813,21756670,290891997,-5761,56722521,12446937
23:58,36,5060,2877,474,5039,1731,3000,4591,351290578,174600561,344216829,86361475,165590593
23:58,2110,371,3215,5535,1278,5894,218,464,392132712,422796157,235787986,51884423,326835749
23:58,5831,2335,1029,2816,1463,4716,1056,2231,415394661,331940053,186496659,329230277,167412604
23:58,5267,2999,4623,425,1582,5685,6205,6285,271344153,294737658,324290493,406069026,358133017
23:58,4446,2875,3362,4894,5626,5445,5966,5564,271645987,319620900,26340325,406985263,362106805
23:58,5802,-1,745,4564,3531,1850,-1,6362,69986566,368936696,81397046,167215927,174491254
23:58,2788,6459,4945,2791,3242,3185,1936,966,310980521,-3038,73752902,100562581,378993480
23:58,3783,2123,1118,4472,4313,-1,4176,2407,53204153,290084112,74480850,331968951,198432321
23:58,5163,4431,6375,1484,2440,1088,847,1721,372944918,392534989,300615708,135953219,162094884
23:58,39,752,1812,2383,5001,4922,5212,255,293223612,125366406,159724736,263051786,2464203
23:58,410,1020,4198,583,2022,4813,3679,898,309671952,399684647,339934938,403378766,316860637
23:59,1591,3175,4079,1856,2889,4922,59,843,301068973,420921618,420550613,119178462,124747837
23:59,5448,-1,3893,3777,5213,4541,317,687,126299051,109781696,101337788,308392728,318525261
23:59,4789,3891,5830,2762,5963,4131,5505,5885,179860083,123336080,321855510,126987169,119902158
23:59,2531,5248,5736,4215,2395,6182,1784,6130,227294106,248647759,141477625,-4826,138846885
23:59,3140,3530,374,127,4857,1167,2947,5682,349490228,95280820,129711940,320505725,414829693
23:59,4618,72,3988,2619,203,6160,5960,4058,137319607,52530103,216985714,409533542,325669480
23:59,4810,3256,728,5872,5373,2659,5826,1636,82972514,202886678,389368345,409058634,248515999
23:59,308,2261,1137,3480,3987,1248,5248,12,21302104,403523620,95790480,50173939,130835980
23:59,1631,1488,5279,3516,1785,2356,4014,1063,62346003,49692137,63644201,5154185,422211108
23:59,2289,3924,2832,3637,6185,4939,1785,4762,-5522,203885881,192564786,246329591,367342158
23:59,3053,6390,2151,1408,3994,2578,945,4681,16767534,177688012,401534487,140354145,129887229
23:59,2948,3172,1536,2171,4580,-1,4853,4678,229124898,118568209,404696651,322023986,163845491
23:59,5076,3513,1882,1571,-1,4632,6029,2927,139189791,305313377,24589335,55098180,256647969
23:59,4625,665,5927,3951,3582,1830,2038,4897,284212963,304816463,177134650,173615074,415439571
23:59,1801,4830,2468,3551,4900,4376,4953,4333,52008529,386595184,244372523,311073661,183716341
23:59,1169,2762,5514,546,2802,3896,-1,4356,96345945,408854057,244190779,389426372,385425372
23:59,1619,-1,6048,1355,772,4171,4434,1557,107642262,14082127,384639038,420178531,75244053
23:59,3103,703,4759,3822,4897,334,4820,5175,7713001,151173282,274881555,325997183,266845527
23:59,6103,4676,4650,5050,1264,1694,2139,6217,377366415,279820350,131163284,219028890,185157604
23:59,1816,3896,4495,3753,2459,3480,1046,1628,404497384,202904237,323491310,244488379,343191566
23:59,5181,1511,1785,3144,4346,539,3491,3756,132908942,199403344,420207889,30421120,370687660
23:59,3,3813,2553,3982,-1,5956,2479,1548,91615172,196874346,223958154,63284141,245150211
23:59,4134,5808,3068,908,102,2257,4260,6173,385845840,130225228,395050720,125151953,140534280
23:59,6192,3423,6076,754,3062,1923,285,3697,112080008,274032253,101404697,114720825,53125256
23:59,2555,1622,2833,5540,-1,4502,2042,1080,1328737,173983983,57238833,301257375,98579985
23:59,2591,3817,960,776,3836,1412,2354,-1,298995183,8841680,412970053,118188307,296424850
